"","Name","Mileage"
"49","Audi A4 2.0 TDI 177 Bhp Premium Plus",17.11
"50","Maruti Swift LDI",22.9
"51","Maruti Swift Ldi BSIV",17.8
"52","Maruti Swift VDI",28.4
"53","Hyundai Grand i10 Sportz",18.9
"54","Volkswagen Vento 2013-2015 1.6 Comfortline",15.04
"55","Renault KWID RXT",25.17
"56","Hyundai i10 Asta",20.36
"57","Nissan X-Trail SLX AT",13.286
"58","Maruti Zen Estilo VXI BSIII",18.2
"59","Toyota Innova Crysta 2.4 GX MT 8S",13.68
"60","Ford Figo Diesel Titanium",20
"61","Mercedes-Benz New C-Class C 200 CGI Avantgarde",11.74
"62","Mercedes-Benz New C-Class 200 CDI Classic",15.8
"63","Tata Indica V2 eLS",25
"64","Audi A4 2.0 TDI Multitronic",16.55
"65","Honda City ZX CVT",16.4
"66","Mercedes-Benz C-Class Progressive C 220d",0
"67","Maruti Ertiga SHVS VDI",24.52
"68","Hyundai Creta 1.4 E Plus Diesel",22.1
"69","Porsche Cayenne 2009-2014 Turbo",8.5
"70","Mahindra XUV500 W8 4WD",15.1
"71","Hyundai i10 Sportz 1.2 AT",16.95
"72","Nissan Terrano XV D Pre",19.64
"73","Honda Brio VX AT",16.5
"74","Audi A6 2.0 TDI Design Edition",18.53
"75","Toyota Innova 2.0 G1",12.4
"76","Toyota Innova 2.5 VX 7 STR BSIV",12.8
"77","Maruti Swift VDI",22.9
"78","Tata Zest Revotron 1.2T XE",17.57
"79","Honda Amaze SX i-VTEC",18
"80","Ford Figo Diesel ZXI",20
"81","Maruti Ritz VDi",23.2
"82","Honda City i VTEC E",17.8
"83","BMW 5 Series 2003-2012 525d",16.73
"84","Hyundai i10 Sportz 1.2",20.36
"85","Hyundai Grand i10 Sportz",18.9
"86","Honda Amaze SX i-VTEC",17.8
"87","Toyota Fortuner 4x2 Manual",13
"88","Audi A6 2011-2015 35 TDI Premium",17.68
"89","Ford Ecosport 1.5 DV5 MT Titanium Optional",22.7
"90","Mahindra XUV500 W8 2WD",15.1
"91","Honda Amaze SX i-DTEC",25.8
"92","Volkswagen Polo Diesel Highline 1.2L",22.07
"93","Hyundai Verna Transform SX VGT CRDi",16.2
"94","Maruti Wagon R VXI BS IV",18.9
"95","Volkswagen Polo Petrol Highline 1.6L",15.26
"96","Hyundai i20 1.4 CRDi Sportz",23
"97","Hyundai i20 Asta 1.2",18.5
"98","Datsun GO Plus T Petrol",19.83
"99","Audi A4 3.0 TDI Quattro Premium",14.94
"100","Hyundai i20 2015-2017 Asta",17
"101","Maruti Omni 5 Str STD",14
"102","Toyota Etios Liva 1.2 G",17.71
"103","Jaguar XF 3.0 Litre S Premium Luxury",14.74
"104","Mahindra XUV500 W8 2WD",16
"105","Hyundai Verna 1.6 SX CRDI (O) AT",22.32
"106","Toyota Innova Crysta 2.8 ZX AT",11.36
"107","Maruti Eeco 5 Seater AC",15.1
"108","Tata Nano Twist XT",25.4
"109","BMW 3 Series 320d Luxury Line",22.69
"110","Honda Civic 2006-2010 1.8 V MT",13.5
"111","Toyota Innova 2.5 VX (Diesel) 7 Seater",12.99
"112","Volvo V40 Cross Country D3",23.3
"113","Nissan Micra XV CVT",19.15
"114","BMW 5 Series 2010-2013 525i",10.8
"115","Maruti Vitara Brezza VDi",24.3
"116","Mercedes-Benz B Class B200 CDI",15
"117","Hyundai Verna CRDi 1.6 SX Option",22
"118","Maruti Wagon R LXI BS IV",18.9
"119","Tata Nano XTA",21.9
"120","Mahindra Scorpio VLX",12.05
"121","Mercedes-Benz New C-Class 200 K AT",11.7
"122","Honda CR-V 2.4 MT",10.8
"123","Volkswagen Vento 1.5 TDI Comfortline AT",21.21
"124","Maruti Ciaz VXi Plus",20.73
"125","Mahindra XUV500 AT W10 FWD",16
"126","Maruti Ritz VXI ABS",21.1
"127","Maruti Alto K10 VXI",24.07
"128","Mercedes-Benz SLC 43 AMG",19
"129","Hyundai Verna VTVT 1.6 AT SX Plus",17
"130","Maruti Alto LXi BSIII",19.7
"131","BMW 1 Series 118d Base",20.58
"132","Honda Jazz 1.2 V CVT i VTEC",19
"133","Honda Civic 2006-2010 1.8 V MT",13.5
"134","Mercedes-Benz New C-Class C 220 CDI Avantgarde",19.27
"135","Honda Amaze SX i-DTEC",25.8
"136","Maruti Swift VVT VXI",22
"137","Toyota Fortuner 3.0 Diesel",11.5
"138","Chevrolet Beat LT Option",18.6
"139","Skoda Rapid 1.5 TDI Elegance",21.14
"140","Maruti Ciaz 1.4 Alpha",20.73
"141","Audi RS5 Coupe",11.05
"142","BMW 3 Series Luxury Line",21.76
"143","Audi A4 2.0 TDI 177 Bhp Premium Plus",17.11
"144","Maruti Swift VDI",22.9
"145","Mercedes-Benz S Class 2005 2013 S 500",7.81
"146","Skoda Rapid 1.5 TDI AT Elegance Plus Black Package",21.66
"147","Skoda Superb Elegance 2.0 TDI CR AT",17.2
"148","Hyundai EON Magna Plus",21.1
"149","Volkswagen Polo Diesel Trendline 1.2L",22.07
"150","Datsun GO NXT",20.63
"151","Honda Brio S MT",19.4
"152","Mercedes-Benz B Class B180",14.8
"153","Honda City i DTEC V",26
"154","Toyota Innova 2.5 G (Diesel) 7 Seater",12.99
"155","Maruti Swift VXI Optional",20.4
"156","Mahindra XUV500 W8 2WD",15.1
"157","Ford Ecosport 1.5 DV5 MT Ambiente",22.7
"158","Toyota Fortuner 4x2 Manual",13
"159","Volkswagen Vento 1.5 Highline Plus AT 16 Alloy",21.5
"160","Ford Figo Diesel Titanium",20
"161","BMW X5 xDrive 30d",15.3
"162","Mercedes-Benz New C-Class C 220 CDI Style",19.27
"163","Honda Brio V MT",19.4
"164","Hyundai i10 Magna 1.2",20.36
"165","Mercedes-Benz GLC 220",17.9
"166","Hyundai Grand i10 1.2 Kappa Asta",18.9
"167","Audi A6 2011-2015 2.0 TDI Premium Plus",17.68
"168","Volkswagen Vento Petrol Highline AT",14.4
"169","Mini Countryman Cooper D",16.6
"170","Hyundai i20 Asta 1.4 CRDi",22.54
"171","Audi A6 2011-2015 2.0 TDI Premium Plus",17.68
"172","Chevrolet Beat Diesel LT",25.44
"173","Skoda Superb Elegance 1.8 TSI AT",13.7
"174","Ford Fiesta 1.4 TDCi EXI Limited Edition",17.8
"175","BMW 5 Series 520d Luxury Line",22.48
"176","Chevrolet Optra Magnum 1.6 LS BS3",12.9
"177","Volkswagen Polo Diesel Highline 1.2L",22.07
"178","Renault Lodgy 110PS RxZ 8 Seater",19.98
"179","Mercedes-Benz E-Class E250 CDI Avantgrade",13
"180","Maruti Baleno Alpha",21.4
"181","Hyundai Verna 1.6 SX",22.32
"182","Hyundai i10 Magna 1.1",19.81
"183","Mahindra Scorpio 1.99 S10 4WD",15.4
"184","Land Rover Range Rover 2.2L Dynamic",12.7
"185","Ford Figo Diesel ZXI",20
"186","Maruti Ertiga ZDI",25.47
"187","Honda City 1.5 GXI",0
"188","Honda Amaze S i-Dtech",25.8
"189","Hyundai i10 Magna",20.36
"190","Honda Amaze S i-Dtech",25.8
"191","Skoda Laura Ambiente",17.5
"192","Renault Duster 85PS Diesel RxL",19.87
"193","Mahindra NuvoSport N6",17.45
"194","Maruti Vitara Brezza ZDi Plus Dual Tone",24.3
"195","Hyundai i20 Asta Option 1.2",18.6
"196","Skoda Fabia 1.4 MPI Ambiente",14.7
"197","Tata Indigo eCS GLX",15.64
"198","Audi Q3 2012-2015 35 TDI Quattro Premium Plus",15.73
"199","Skoda Octavia Elegance 1.8 TSI AT",14.7
"200","Toyota Etios Liva GD SP",23.59
"201","Maruti Swift 1.3 VXi",16.1
"202","Mercedes-Benz B Class B180",14.8
"203","Honda Amaze S Diesel",27.4
"204","Hyundai Verna 1.6 SX",22.32
"205","Renault Duster 85PS Diesel RxL Optional",20.46
"206","Hyundai Creta 1.6 VTVT S",15.29
"207","Maruti Wagon R AMT VXI",20.51
"208","Mercedes-Benz New C-Class C250 Avantgarde",11.74
"209","Audi A8 L 3.0 TDI quattro",11.8
"210","Hyundai i10 Magna 1.1",19.81
"211","Skoda Rapid 1.6 MPI AT Style Black Package",14.3
"212","Skoda Superb Style 1.8 TSI AT",14.67
"213","Hyundai i20 Active 1.2 SX",17.19
"214","Honda Amaze VX i-DTEC",25.8
"215","Maruti Wagon R LXI",18.9
"216","Mahindra Verito 1.5 D4 BSIV",21.03
"217","Mercedes-Benz New C-Class C 220d Avantgarde Edition C",19.27
"218","Maruti Wagon R VXI",22.5
"219","Nissan Terrano XV Premium 110 PS Anniversary Edition",19.01
"220","Mini Cooper Convertible S",16.82
"221","Ford Figo Diesel",0
"222","Tata Indica V2 DLS BSII",17.2
"223","Chevrolet Beat LT",18.6
"224","Volkswagen Polo Diesel Comfortline 1.2L",22.07
"225","Maruti Swift ZDi",22.9
"226","Ford Figo Diesel EXI",20
"227","Toyota Innova Crysta 2.8 GX AT",11.36
"228","Hyundai Santa Fe 4x4 AT",11.72
"229","Honda City i-VTEC V",17.4
"230","Hyundai i20 1.2 Magna Executive",18.6
"231","Mercedes-Benz New C-Class C 220d Avantgarde Edition C",19.27
"232","Chevrolet Beat Diesel LT",25.44
"233","Hyundai i20 Sportz 1.4 CRDi",22.54
"234","Toyota Innova 2.5 Z Diesel 7 Seater",12.99
"235","Maruti Ertiga VDI",20.77
"236","Toyota Innova 2.5 V Diesel 7-seater",12.8
"237","Honda City i VTEC V",17.8
"238","BMW X1 sDrive20d",17.05
"239","Hyundai Grand i10 CRDi Era",24
"240","Maruti Ciaz 1.3 Alpha",28.09
"241","Skoda Rapid Leisure 1.6 TDI MT",20.5
"242","Hyundai Accent CRDi",13.1
"243","Volkswagen Polo GT 1.5 TDI",19.91
"244","Honda Jazz 1.2 VX i VTEC",18.7
"245","Hyundai i10 Era",19.81
"246","Hyundai Tucson 2.0 e-VGT 2WD AT GLS",16.38
"247","Toyota Innova Crysta 2.4 ZX MT",13.68
"248","Maruti Omni MPI CARGO BSIII W/ IMMOBILISER",19.7
"249","Maruti Swift VXI BSIV",20.4
"250","Hyundai Grand i10 Magna",18.9
"251","Maruti Swift VDI",22.9
"252","Hyundai Verna CRDi 1.6 SX",22
"253","Hyundai i20 1.2 Sportz",17
"254","Mercedes-Benz GLE 350d",11.57
"255","Mercedes-Benz New C-Class C 220 CDI CLASSIC",15.8
"256","Maruti Ritz ZDi",23.2
"257","Hyundai Creta 1.6 CRDi SX",19.67
"258","Maruti A-Star Vxi",19
"259","Renault Duster 110PS Diesel RXZ Option",19.64
"260","Fiat Grande Punto 1.3 Emotion Pack (Diesel)",17.8
"261","BMW X3 xDrive30d M Sport",16.55
"262","Hyundai i10 Sportz",20.36
"263","Toyota Innova 2.5 G4 Diesel 7-seater",12.8
"264","Maruti Zen VXI BSII",17.3
"265","Maruti Swift VDI",28.4
"266","Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV",12.05
"267","Tata Zest Quadrajet 1.3 75PS XE",22.95
"268","Ford EcoSport 1.0 Ecoboost Titanium Plus",18.88
"269","Maruti Swift Dzire ZDI",23.4
"270","Maruti Alto 800 LXI",22.74
"271","Honda City 1.5 S MT",17
"272","Audi Q7 3.0 TDI Quattro Technology",12.07
"273","Skoda Laura 1.9 TDI AT Ambiente",17
"274","Hyundai Verna 1.6 SX VTVT (O)",17.1
"275","Honda City 1.5 V AT",16.8
"276","Hyundai i20 Magna Optional 1.4 CRDi",21.9
"277","Hyundai i20 Sportz AT 1.4",15
"278","Volkswagen Vento Diesel Highline",20.54
"279","Honda City i VTEC VX",17.4
"280","Tata Zest Quadrajet 1.3 75PS XE",22.95
"281","BMW 5 Series 2003-2012 520d",18.48
"282","Maruti Wagon R LXI Minor",18.9
"283","Honda Jazz VX",18.2
"284","Volkswagen Jetta 2007-2011 2.0 TDI Comfortline",15
"285","Hyundai i10 Magna 1.2",20.36
"286","Mercedes-Benz New C-Class C 220 CDI Avantgarde",19.27
"287","Hyundai i10 Magna 1.2 iTech SE",20.36
"288","Toyota Innova Crysta 2.4 ZX MT",13.68
"289","Audi A6 2011-2015 2.0 TDI Technology",17.68
"290","Toyota Innova 2.5 VX (Diesel) 7 Seater",12.99
"291","Volkswagen Polo Petrol Trendline 1.2L",16.47
"292","Maruti Alto K10 LXI",20.92
"293","Honda City i-VTEC CVT ZX",18
"294","Tata Indigo LX",17
"295","Audi A6 2011-2015 2.0 TDI Premium Plus",17.68
"296","Mercedes-Benz GLA Class 200 CDI SPORT",17.9
"297","Maruti Celerio VXI AT",23.1
"298","Mercedes-Benz GLE 250d",17.9
"299","Land Rover Range Rover HSE Dynamic",12.7
"300","Volkswagen Vento Diesel Trendline",20.54
"301","Maruti Omni 8 Seater BSIV",14
"302","Honda Brio 1.2 VX MT",18.5
"303","Tata Sumo Delux",14.07
"304","Tata Indica Vista Aura 1.3 Quadrajet",18
"305","Maruti Wagon R LXI BS IV",18.9
"306","Mahindra XUV500 W8 4WD",16
"307","Tata Indigo LS Dicor",17.1
"308","Maruti Ertiga Paseo VXI",16.02
"309","Honda Accord 2.4 A/T",11.7
"310","Maruti Swift Dzire VDi",19.3
"311","Ford Fiesta EXi 1.4 TDCi Ltd",17.8
"312","Honda City ZX GXi",17.7
"313","Audi A6 2011-2015 2.0 TDI Premium Plus",17.68
"314","BMW 6 Series 640d Gran Coupe",9.52
"315","Audi Q7 45 TDI Quattro Technology",14.75
"316","Hyundai i20 1.4 CRDi Asta",23
"317","Hyundai i10 Sportz AT",16.95
"318","Honda Jazz 1.2 V CVT i VTEC",19
"319","Maruti Swift VDI BSIV",25.2
"320","Hyundai i20 Asta 1.2",18.5
"321","Volkswagen Polo Petrol Comfortline 1.2L",16.47
"322","Maruti Alto LXi",19.7
"323","Toyota Corolla H4",11.3
"324","Maruti Alto LXi",19.7
"325","Tata Manza ELAN Quadrajet BS IV",21.12
"326","Maruti Alto LXi",19.7
"327","Skoda Octavia Ambition Plus 2.0 TDI AT",19.3
"328","Toyota Corolla H4",11.3
"329","Hyundai i20 Asta Option 1.2",18.6
"330","Maruti Vitara Brezza LDi",24.3
"331","Honda City 1.5 V MT",17
"332","Tata Indica Vista Aqua 1.3 Quadrajet",18
"333","Honda Amaze S i-Dtech",25.8
"334","Hyundai EON D Lite Plus",21.1
"335","BMW 3 Series Luxury Line",21.76
"336","Hyundai Verna 1.6 SX",22.32
"337","Tata Manza Club Class Quadrajet90 LS",21.02
"338","Skoda Octavia RS",14.45
"339","Maruti Alto K10 VXI",24.07
"340","Ford Ecosport 1.5 DV5 MT Titanium Optional",22.7
"341","Chevrolet Spark 1.0 LS",18
"342","Jaguar XF 2.0 Diesel Portfolio",19.33
"343","Honda CR-V RVi MT",13.1
"344","Skoda Superb L&K 1.8 TSI AT",14.67
"345","Hyundai i10 Magna 1.2",20.36
"346","Maruti Swift LDI",22.9
"347","Maruti Swift Dzire VXi AT",18.5
"348","Nissan Micra Diesel XV",23.08
"349","Maruti Swift Dzire Tour LDI",23.4
"350","Ford Fiesta Classic 1.4 Duratorq CLXI",17.8
"351","Maruti Zen LX",17.3
"352","Mini Clubman Cooper S",13.8
"353","Toyota Etios GD",23.59
"354","Maruti Alto 800 2016-2019 LXI",24.7
"355","Maruti Alto VXi",18.9
"356","BMW X5 3.0d",11
"357","Nissan Teana XV",11.07
"358","Hyundai Grand i10 AT Asta",18.9
"359","Maruti Vitara Brezza ZDi Plus",24.3
"360","Audi Q7 3.0 TDI Quattro Premium Plus",12.07
"361","Mercedes-Benz GLA Class 200 CDI",17.9
"362","Maruti 800 AC",16.1
"363","Renault Duster 85PS Diesel RxL",20.45
"364","Toyota Corolla Altis D-4D GL",21.43
"365","Mercedes-Benz New C-Class 220",15.8
"366","Maruti Ritz VDi",21.1
"367","Honda BRV i-VTEC V CVT",16
"368","Hyundai Xcent 1.1 CRDi Base",24.4
"369","Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde",14.21
"370","Mercedes-Benz B Class B180",14.8
"371","Mercedes-Benz E-Class 2015-2017 E250 Edition E",15
"372","Honda City i VTEC VX Option",17.8
"373","Honda City 1.5 S MT",17
"374","Hyundai Verna Transform VTVT",16.2
"375","Jaguar XE Portfolio",13.5
"376","Honda Amaze S i-Vtech",18
"377","Mini Cooper Convertible 1.6",18.86
"378","Mercedes-Benz S Class 2005 2013 S 350 CDI",13.5
"379","Hyundai EON Magna Plus",21.1
"380","Maruti Wagon R VXI BS IV",20.51
"381","Maruti Ritz LDi",21.1
"382","BMW 3 Series 320d Sedan",16.07
"383","Tata Xenon XT EX 4X2",13.49
"384","Audi A3 35 TDI Attraction",20.38
"385","Land Rover Range Rover 2.2L Dynamic",12.7
"386","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury",12
"387","Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop",13.5
"388","Maruti Alto LX",19.7
"389","Maruti Wagon R LXI BSIII",14
"390","Land Rover Range Rover 2.2L Prestige",12.7
"391","Hyundai Verna 1.6 SX VTVT",17.01
"392","BMW 5 Series 525d Sedan",16.73
"393","Jaguar XF Diesel",14.74
"394","Skoda Superb Elegance 1.8 TSI AT",13.7
"395","Audi Q3 35 TDI Quattro Premium",15.73
"396","Land Rover Range Rover 2.2L Pure",12.7
"397","Mercedes-Benz New C-Class 220 CDI AT",14.84
"398","Mahindra Scorpio S10 4WD",15.4
"399","BMW 3 Series Luxury Line",21.76
"400","Honda BR-V i-VTEC S MT",15.4
"401","Volvo S80 2006-2013 D5",16
"402","Hyundai Accent GLE",13.2
"403","Hyundai i20 Active SX Petrol",17.19
"404","Mercedes-Benz GLC 43 AMG Coupe",11.5
"405","Hyundai EON Magna Plus",21.1
"406","Hyundai Grand i10 SportZ Edition",18.9
"407","Honda City 1.5 EXI S",13
"408","Volkswagen Polo Petrol Trendline 1.2L",16.47
"409","Audi A6 35 TFSI Matrix",15.26
"410","Hyundai Creta 1.6 SX Plus Dual Tone Petrol",15.29
"411","Mercedes-Benz New C-Class C 200 CGI Avantgarde",11.74
"412","Mini Cooper Convertible S",16.82
"413","Toyota Etios VD",23.59
"414","Honda Brio S MT",19.4
"415","Maruti Baleno Alpha Automatic",21.4
"416","Skoda Laura Ambiente 2.0 TDI CR AT",20
"417","Hyundai EON Era Plus",21.1
"418","Renault Captur 1.5 Diesel RXL",20.37
"419","BMW 5 Series 2003-2012 GT 530d LE",16.2
"420","Maruti Alto 800 LXI",22.74
"421","Volvo V40 D3",16.8
"422","Maruti Wagon R LXI BSII",18.9
"423","Honda City ZX GXi",17.7
"424","Chevrolet Enjoy 1.4 LS 8",13.7
"425","Mahindra Bolero ZLX",15.96
"426","Hyundai EON D Lite",21.1
"427","Hyundai Creta 1.6 SX Plus Petrol Automatic",13
"428","Volkswagen Vento 1.6 Comfortline",16.09
"429","Honda Civic 2006-2010 1.8 S AT",12.9
"430","Tata Indica Vista Quadrajet LS",22.3
"431","Mahindra XUV500 W8 2WD",16
"432","Hyundai i20 1.2 Asta Option",18.6
"433","Audi Q5 30 TDI quattro Premium Plus",14.16
"434","Maruti Ritz VXi",18.5
"435","Mitsubishi Cedia Sports",13.17
"436","Toyota Innova 2.5 V Diesel 7-seater",12.8
"437","Maruti Celerio LDi",27.62
"438","Maruti S-Cross Delta DDiS 200 SH",25.1
"439","Audi Q3 35 TDI Quattro Premium Plus",15.17
"440","BMW 3 Series Luxury Line",21.76
"441","Audi Q7 4.2 TDI Quattro Technology",11.33
"442","Hyundai i20 2015-2017 Asta 1.2",18.6
"443","Renault Duster 110PS Diesel RxL",19.01
"444","Hyundai Xcent 1.1 CRDi S Celebration Edition",24.4
"445","Ford Ecosport 1.5 DV5 MT Titanium",22.7
"446","Volkswagen Polo Petrol Trendline 1.2L",16.47
"447","Hyundai Grand i10 CRDi Magna",24
"448","Tata Manza Aqua Quadrajet BS IV",21.12
"449","Honda City 1.5 V MT",17
"450","Hyundai Santro Xing GLS",17.92
"451","Toyota Innova 2.5 VX (Diesel) 7 Seater",12.99
"452","Maruti Ciaz 1.3 S",28.09
"453","Toyota Fortuner 4x4 MT TRD Sportivo",12.55
"454","Mercedes-Benz E-Class E 220 d",12.6
"455","Mercedes-Benz New C-Class 220 CDI MT",15.8
"456","Skoda Yeti Ambition 4X2",17.72
"457","Hyundai Grand i10 Sportz",18.9
"458","Ford Figo 2015-2019 1.2P Titanium MT",18.16
"459","Skoda Octavia Ambition 1.4 TSI MT",16.8
"460","Renault Duster 85PS Diesel RxL Option",19.87
"461","Land Rover Range Rover Evoque 2.0 TD4 Pure",15.68
"462","Ford Figo Diesel EXI",20
"463","Ford Endeavour Hurricane Limited Edition",12.8
"464","Toyota Fortuner 4x4 MT",12.55
"465","Volkswagen Polo Diesel Comfortline 1.2L",22.07
"466","Maruti Ritz VDi",23.2
"467","Nissan Micra Diesel XV Premium",23.08
"468","Hyundai Verna 1.6 SX",22.32
"469","BMW 5 Series 2003-2012 523i",10.8
"470","Mercedes-Benz GLS 350d 4MATIC",11
"471","Honda CR-V 2.4L 4WD AT",12
"472","Hyundai Creta 1.6 CRDi AT SX Plus",17.01
"473","Hyundai i10 Era",19.81
"474","Mercedes-Benz A Class A200 CDI Sport",20
"475","Maruti Ertiga VXI",16.02
"476","Skoda Octavia Classic 1.9 TDI MT",18.7
"477","Honda Amaze VX i-Vtech",18
"478","Maruti Zen LXi BSII",17.3
"479","Maruti SX4 ZXI MT BSIV",15.5
"480","Honda Brio VX AT",16.5
"481","Maruti Wagon R VXI",18.9
"482","Toyota Camry A/T",12.1
"483","Chevrolet Beat LS",18.6
"484","Toyota Fortuner 4x4 AT",12.55
"485","Ford Ecosport 1.5 DV5 MT Titanium Optional",22.7
"486","Maruti Swift Vdi BSIII",17.8
"487","Mercedes-Benz S Class 2005 2013 S 350 CDI",13.5
"488","Honda Mobilio S i VTEC",17.3
"489","Hyundai Grand i10 Sportz",18.9
"490","Mahindra XUV500 AT W8 FWD",16
"491","Skoda Fabia 1.6 MPI Elegance",14.83
"492","Hyundai Santro Xing GLS",17.92
"493","Hyundai Creta 1.6 SX Plus Dual Tone Petrol",15.29
"494","Mahindra Scorpio 1.99 S8",15.4
"495","Skoda Rapid 1.6 TDI Ambition",20.5
"496","Renault Duster 110PS Diesel RxZ",19.01
"497","BMW X5 xDrive 30d",11.7
"498","Toyota Etios G",17.6
"499","Maruti Wagon R LXI",22.5
"500","Hyundai Creta 1.6 SX",15.8
"501","Maruti Celerio VXI",23.1
"502","Land Rover Range Rover HSE Dynamic",12.7
"503","Chevrolet Beat LT",18.6
"504","Tata Nano Twist XT",25.4
"505","Audi A6 2011-2015 35 TDI Technology",17.68
"506","Mercedes-Benz E-Class 280 CDI",11
"507","Maruti Swift VXI",22
"508","Fiat Linea T Jet",14.6
"509","Maruti Swift VXI Optional",20.4
"510","Toyota Fortuner 3.0 Diesel",11.5
"511","Maruti Ertiga ZXI",16.02
"512","BMW 3 Series 320i Sedan",12.05
"513","Maruti Ertiga VXI",16.02
"514","Honda City 1.5 V AT",16.8
"515","Hyundai Santa Fe 4X4",14.66
"516","Tata Indigo LS",17
"517","Mercedes-Benz E-Class 2009-2013 E 250 Elegance",10.93
"518","Maruti Swift Dzire LDi",19.3
"519","Ford Fiesta Classic 1.4 Duratorq CLXI",17.8
"520","Honda City i VTEC CVT VX",18
"521","Toyota Fortuner 4x2 Manual",13
"522","Honda Amaze VX O i VTEC",18
"523","Hyundai i20 Asta 1.4 CRDi",22.54
"524","Chevrolet Enjoy TCDi LTZ 7 Seater",18.2
"525","Mercedes-Benz New C-Class Progressive C 200",0
"526","Maruti SX4 ZXI AT Leather",12.6
"527","Toyota Innova 2.5 VX (Diesel) 7 Seater",12.99
"528","BMW 5 Series 2003-2012 520d",18.48
"529","Renault Duster 110PS Diesel RxZ",19.01
"530","BMW X1 sDrive 20d xLine",20.68
"531","Honda City ZX GXi",17.7
"532","Maruti Ciaz RS ZDi Plus SHVS",28.09
"533","Maruti Swift Dzire VXi",17.5
"534","Mahindra XUV500 W6 2WD",15.1
"535","Honda Civic 2006-2010 1.8 S MT",13.5
"536","Maruti Ertiga ZDI",25.47
"537","Toyota Etios Liva GD",23.59
"538","Audi TT 2.0 TFSI",9.9
"539","Skoda Rapid 1.5 TDI Style",21.13
"540","Volkswagen Polo 1.5 TDI Highline",20.14
"541","Skoda Laura 1.9 TDI AT Elegance",17
"542","Mahindra Renault Logan 1.5 DLE Diesel",19.2
"543","Toyota Innova Crysta 2.8 GX AT",11.36
"544","BMW 3 Series 320d Luxury Line",18.88
"545","Honda Jazz 1.5 S i DTEC",27.3
"546","Honda Amaze VX i-DTEC",25.8
"547","Jaguar XF 2.2 Litre Luxury",16.36
"548","Maruti Swift Dzire VDI",26.59
"549","Jeep Compass 2.0 Limited",17.1
"550","Toyota Corolla Altis 1.8 Sport",12.5
"551","Honda City 1.5 V MT",17
"552","Maruti Swift ZXI",18.6
"553","Hyundai Verna 1.6 SX CRDI (O) AT",22.32
"554","Mahindra Bolero ZLX",15.96
"555","Maruti Swift VDI",22.9
"556","Audi A6 2011-2015 2.0 TDI Premium Plus",17.68
"557","Ford Ikon 1.3 LXi NXt",13.8
"558","Volkswagen Polo 1.5 TDI Highline",20.14
"559","Mahindra Bolero VLX CRDe",13.6
"560","Honda City i DTEC VX Option",25.1
"561","Chevrolet Sail Hatchback 1.2 LS",18.2
"562","Hyundai i20 1.2 Spotz",18.6
