"","X","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price","car_age"
"48",75,"Audi A6 2.0 TDI Design Edition","Delhi",2014,56000,"Diesel","Automatic","Second",18.53,1968,187.74,5,29.5,10
"49",80,"Maruti Swift VDI","Jaipur",2012,95100,"Diesel","Manual","First",22.9,1248,74,5,3.75,12
"50",81,"Tata Zest Revotron 1.2T XE","Pune",2017,70000,"Petrol","Manual","First",17.57,1193,88.7,5,4.5,7
"51",82,"Honda Amaze SX i-VTEC","Kochi",2016,54944,"Petrol","Manual","First",18,1198,86.7,5,4.82,8
"52",83,"Ford Figo Diesel ZXI","Hyderabad",2012,70337,"Diesel","Manual","First",20,1399,68,5,2.8,12
"53",84,"Maruti Ritz VDi","Jaipur",2013,99638,"Diesel","Manual","First",23.2,1248,73.94,5,3.11,11
"54",85,"Honda City i VTEC E","Delhi",2009,52000,"Petrol","Manual","First",17.8,1497,117.3,5,3.25,15
"55",86,"BMW 5 Series 2003-2012 525d","Delhi",2011,75000,"Diesel","Automatic","Second",16.73,1995,218,5,13.9,13
"56",87,"Hyundai i10 Sportz 1.2","Pune",2009,95980,"Petrol","Manual","First",20.36,1197,78.9,5,2.25,15
"57",88,"Hyundai Grand i10 Sportz","Bangalore",2016,16000,"Petrol","Manual","First",18.9,1197,82,5,5.75,8
"58",90,"Honda Amaze SX i-VTEC","Mumbai",2016,18949,"Petrol","Manual","First",17.8,1198,86.7,5,5,8
"59",92,"Audi A6 2011-2015 35 TDI Premium","Coimbatore",2018,48367,"Diesel","Automatic","First",17.68,1968,174.33,5,39.58,6
"60",93,"Ford Ecosport 1.5 DV5 MT Titanium Optional","Delhi",2013,57000,"Diesel","Manual","First",22.7,1498,89.84,5,5.5,11
"61",95,"Honda Amaze SX i-DTEC","Kolkata",2015,30000,"Diesel","Manual","First",25.8,1498,98.6,5,3.5,9
"62",96,"Volkswagen Polo Diesel Highline 1.2L","Kolkata",2013,34212,"Diesel","Manual","First",22.07,1199,73.9,5,2.79,11
"63",97,"Hyundai Verna Transform SX VGT CRDi","Ahmedabad",2010,70002,"Diesel","Manual","First",16.2,1493,110,5,3.45,14
"64",98,"Maruti Wagon R VXI BS IV","Bangalore",2016,62000,"Petrol","Manual","First",18.9,998,67.1,5,4.45,8
"65",100,"Hyundai i20 1.4 CRDi Sportz","Pune",2011,78958,"Diesel","Manual","Second",23,1396,90,5,3.8,13
"66",101,"Hyundai i20 Asta 1.2","Mumbai",2014,30180,"Petrol","Manual","First",18.5,1197,82.85,5,4.65,10
"67",102,"Datsun GO Plus T Petrol","Pune",2017,32851,"Petrol","Manual","First",19.83,1198,67,7,3.95,7
"68",104,"Hyundai i20 2015-2017 Asta","Pune",2009,66000,"Petrol","Manual","Second",17,1197,80,5,2.7,15
"69",106,"Toyota Etios Liva 1.2 G","Ahmedabad",2014,53000,"Petrol","Manual","First",17.71,1197,78.9,5,3.9,10
"70",109,"Hyundai Verna 1.6 SX CRDI (O) AT","Kolkata",2014,40000,"Diesel","Automatic","First",22.32,1582,126.32,5,5.25,10
"71",112,"Tata Nano Twist XT","Bangalore",2014,25500,"Petrol","Manual","First",25.4,624,37.5,4,2.15,10
"72",113,"BMW 3 Series 320d Luxury Line","Mumbai",2015,56087,"Diesel","Automatic","First",22.69,1995,190,5,20.75,9
"73",116,"Volvo V40 Cross Country D3","Bangalore",2014,32700,"Diesel","Automatic","First",23.3,1984,150,5,20,10
"74",117,"Nissan Micra XV CVT","Coimbatore",2016,39882,"Petrol","Automatic","First",19.15,1198,75.94,5,6.55,8
"75",119,"Maruti Vitara Brezza VDi","Mumbai",2016,55000,"Diesel","Manual","First",24.3,1248,88.5,5,7.5,8
"76",122,"Hyundai Verna CRDi 1.6 SX Option","Kolkata",2018,10250,"Diesel","Manual","First",22,1582,126.2,5,10.95,6
"77",123,"Maruti Wagon R LXI BS IV","Pune",2011,43874,"Petrol","Manual","First",18.9,998,67.1,5,2.45,13
"78",124,"Tata Nano XTA","Coimbatore",2017,32684,"Petrol","Automatic","First",21.9,624,37.48,4,3.23,7
"79",129,"Volkswagen Vento 1.5 TDI Comfortline AT","Pune",2015,55000,"Diesel","Automatic","First",21.21,1498,103.2,5,7.25,9
"80",130,"Maruti Ciaz VXi Plus","Kochi",2017,44285,"Petrol","Manual","First",20.73,1373,91.1,5,7.47,7
"81",132,"Maruti Ritz VXI ABS","Coimbatore",2016,30232,"Petrol","Manual","First",21.1,1197,85.8,5,5.81,8
"82",133,"Maruti Alto K10 VXI","Hyderabad",2014,88500,"Petrol","Manual","First",24.07,998,67.1,5,2.6,10
"83",134,"Mercedes-Benz SLC 43 AMG","Kolkata",2017,13372,"Petrol","Automatic","First",19,2996,362.07,2,54,7
"84",135,"Hyundai Verna VTVT 1.6 AT SX Plus","Kochi",2019,12645,"Petrol","Automatic","First",17,1591,121.3,5,11.5,5
"85",136,"Maruti Alto LXi BSIII","Chennai",2010,94385,"Petrol","Manual","Second",19.7,796,46.3,5,1.6,14
"86",137,"BMW 1 Series 118d Base","Coimbatore",2015,31821,"Diesel","Automatic","First",20.58,1995,143,5,17.22,9
"87",138,"Honda Jazz 1.2 V CVT i VTEC","Mumbai",2015,12000,"Petrol","Automatic","First",19,1199,88.7,5,6,9
"88",140,"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Kochi",2014,44965,"Diesel","Automatic","First",19.27,2143,170,5,17.95,10
"89",141,"Honda Amaze SX i-DTEC","Kolkata",2014,45044,"Diesel","Manual","First",25.8,1498,98.6,5,3.7,10
"90",142,"Maruti Swift VVT VXI","Kochi",2016,34204,"Petrol","Manual","First",22,1197,81.8,5,5.43,8
"91",145,"Chevrolet Beat LT Option","Pune",2014,38800,"Petrol","Manual","First",18.6,1199,76.8,5,2.85,10
"92",146,"Skoda Rapid 1.5 TDI Elegance","Chennai",2013,83000,"Diesel","Manual","First",21.14,1498,103.52,5,4.75,11
"93",147,"Maruti Ciaz 1.4 Alpha","Kochi",2018,41283,"Petrol","Manual","First",20.73,1373,91.1,5,9.9,6
"94",149,"BMW 3 Series Luxury Line","Mumbai",2014,48000,"Diesel","Automatic","First",21.76,1995,190,5,26.5,10
"95",150,"Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore",2015,48214,"Diesel","Automatic","First",17.11,1968,174.33,5,23.32,9
"96",151,"Maruti Swift VDI","Chennai",2016,35000,"Diesel","Manual","First",22.9,1248,74,5,6.25,8
"97",153,"Skoda Rapid 1.5 TDI AT Elegance Plus Black Package","Coimbatore",2016,54620,"Diesel","Automatic","First",21.66,1498,103.52,5,9.86,8
"98",154,"Skoda Superb Elegance 2.0 TDI CR AT","Pune",2012,136997,"Diesel","Automatic","First",17.2,1968,138.1,5,8.5,12
"99",155,"Hyundai EON Magna Plus","Kochi",2019,14322,"Petrol","Manual","First",21.1,814,55.2,5,4.23,5
"100",156,"Volkswagen Polo Diesel Trendline 1.2L","Jaipur",2012,65634,"Diesel","Manual","First",22.07,1199,73.9,5,3.5,12
"101",157,"Datsun GO NXT","Kolkata",2016,6000,"Petrol","Manual","First",20.63,1198,67.06,5,2.5,8
"102",158,"Honda Brio S MT","Kolkata",2013,33280,"Petrol","Manual","First",19.4,1198,86.8,5,2.39,11
"103",160,"Honda City i DTEC V","Kochi",2015,42831,"Diesel","Manual","First",26,1498,98.6,5,7.11,9
"104",162,"Maruti Swift VXI Optional","Ahmedabad",2017,24005,"Petrol","Manual","First",20.4,1197,81.8,5,6.2,7
"105",164,"Ford Ecosport 1.5 DV5 MT Ambiente","Kochi",2014,147898,"Diesel","Manual","First",22.7,1498,89.84,5,4.42,10
"106",166,"Volkswagen Vento 1.5 Highline Plus AT 16 Alloy","Chennai",2013,65000,"Diesel","Automatic","First",21.5,1498,108.5,5,6.25,11
"107",167,"Ford Figo Diesel Titanium","Jaipur",2010,66123,"Diesel","Manual","Second",20,1399,68,5,2.1,14
"108",169,"Mercedes-Benz New C-Class C 220 CDI Style","Coimbatore",2017,23550,"Diesel","Automatic","First",19.27,2143,167.62,5,33.66,7
"109",170,"Honda Brio V MT","Bangalore",2012,45000,"Petrol","Manual","Second",19.4,1198,86.8,5,3.65,12
"110",171,"Hyundai i10 Magna 1.2","Delhi",2013,60000,"Petrol","Manual","First",20.36,1197,78.9,5,2.75,11
"111",172,"Mercedes-Benz GLC 220","Bangalore",2016,44414,"Diesel","Automatic","First",17.9,2143,170,5,42.5,8
"112",173,"Hyundai Grand i10 1.2 Kappa Asta","Kolkata",2019,1000,"Petrol","Manual","First",18.9,1197,81.86,5,6.5,5
"113",174,"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2012,62500,"Diesel","Automatic","Second",17.68,1968,174.33,5,19,12
"114",176,"Mini Countryman Cooper D","Jaipur",2017,8525,"Diesel","Automatic","Second",16.6,1998,112,5,23,7
"115",177,"Hyundai i20 Asta 1.4 CRDi","Bangalore",2014,29000,"Diesel","Manual","First",22.54,1396,88.73,5,8.35,10
"116",178,"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2014,40000,"Diesel","Automatic","First",17.68,1968,174.33,5,22.95,10
"117",179,"Chevrolet Beat Diesel LT","Jaipur",2012,88000,"Diesel","Manual","First",25.44,936,57.6,5,1.5,12
"118",181,"Ford Fiesta 1.4 TDCi EXI Limited Edition","Chennai",2006,216000,"Diesel","Manual","Second",17.8,1399,68,5,1.45,18
"119",182,"BMW 5 Series 520d Luxury Line","Hyderabad",2014,51000,"Diesel","Automatic","First",22.48,1995,190,5,33.5,10
"120",184,"Volkswagen Polo Diesel Highline 1.2L","Hyderabad",2012,63000,"Diesel","Manual","First",22.07,1199,73.9,5,4.2,12
"121",185,"Renault Lodgy 110PS RxZ 8 Seater","Mumbai",2015,25000,"Diesel","Manual","First",19.98,1461,108.5,8,6.75,9
"122",187,"Maruti Baleno Alpha","Kochi",2017,24773,"Petrol","Manual","First",21.4,1197,83.1,5,7.5,7
"123",188,"Hyundai Verna 1.6 SX","Delhi",2012,62000,"Diesel","Manual","First",22.32,1582,126.32,5,4.6,12
"124",189,"Hyundai i10 Magna 1.1","Kochi",2017,52340,"Petrol","Manual","First",19.81,1086,68.05,5,4.04,7
"125",192,"Ford Figo Diesel ZXI","Chennai",2010,120000,"Diesel","Manual","First",20,1399,68,5,2.6,14
"126",193,"Maruti Ertiga ZDI","Mumbai",2016,33000,"Diesel","Manual","First",25.47,1248,88.5,7,8.5,8
"127",195,"Honda Amaze S i-Dtech","Kolkata",2014,52000,"Diesel","Manual","First",25.8,1498,98.6,5,3.5,10
"128",196,"Hyundai i10 Magna","Jaipur",2015,43571,"Petrol","Manual","First",20.36,1197,78.9,5,3.55,9
"129",197,"Honda Amaze S i-Dtech","Kolkata",2013,50000,"Diesel","Manual","First",25.8,1498,98.6,5,3.25,11
"130",198,"Skoda Laura Ambiente","Hyderabad",2008,113000,"Diesel","Manual","First",17.5,1896,106,5,4.5,16
"131",199,"Renault Duster 85PS Diesel RxL","Delhi",2014,90000,"Diesel","Manual","First",19.87,1461,83.8,5,5.35,10
"132",200,"Mahindra NuvoSport N6","Chennai",2017,29000,"Diesel","Manual","Second",17.45,1493,100,7,6.5,7
"133",201,"Maruti Vitara Brezza ZDi Plus Dual Tone","Mumbai",2016,20000,"Diesel","Manual","First",24.3,1248,88.5,5,9,8
"134",202,"Hyundai i20 Asta Option 1.2","Kochi",2016,61012,"Petrol","Manual","First",18.6,1197,81.83,5,6,8
"135",207,"Toyota Etios Liva GD SP","Delhi",2014,104000,"Diesel","Manual","First",23.59,1364,67.06,5,3,10
"136",208,"Maruti Swift 1.3 VXi","Kolkata",2010,42001,"Petrol","Manual","First",16.1,1631.55257270694,113.803144037171,5,2.11,14
"137",210,"Honda Amaze S Diesel","Kolkata",2013,45000,"Diesel","Manual","First",27.4,1498,98.6,5,3.25,11
"138",211,"Hyundai Verna 1.6 SX","Jaipur",2012,117837,"Diesel","Manual","Second",22.32,1582,126.32,5,4.75,12
"139",212,"Renault Duster 85PS Diesel RxL Optional","Mumbai",2014,30000,"Diesel","Manual","First",20.46,1461,83.8,5,5.95,10
"140",214,"Maruti Wagon R AMT VXI","Mumbai",2016,8500,"Petrol","Automatic","First",20.51,998,67,5,4.22,8
"141",217,"Hyundai i10 Magna 1.1","Pune",2012,44000,"Petrol","Manual","Second",19.81,1086,68.05,5,2.9,12
"142",220,"Hyundai i20 Active 1.2 SX","Coimbatore",2018,25166,"Petrol","Manual","First",17.19,1197,81.86,5,8.22,6
"143",221,"Honda Amaze VX i-DTEC","Kolkata",2014,64000,"Diesel","Manual","Second",25.8,1498,98.6,5,3.5,10
"144",222,"Maruti Wagon R LXI","Chennai",2004,61000,"Petrol","Manual","Second",18.9,998,67.1,5,1.25,20
"145",223,"Mahindra Verito 1.5 D4 BSIV","Hyderabad",2013,107000,"Diesel","Manual","First",21.03,1461,65,5,3.7,11
"146",224,"Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,29161,"Diesel","Automatic","First",19.27,2143,167.62,5,39.41,6
"147",225,"Maruti Wagon R VXI","Kolkata",2013,32000,"Petrol","Manual","First",22.5,998,67.04,5,2.65,11
"148",226,"Nissan Terrano XV Premium 110 PS Anniversary Edition","Coimbatore",2015,46173,"Diesel","Manual","Second",19.01,1461,108.5,5,8.92,9
"149",228,"Mini Cooper Convertible S","Kochi",2017,26327,"Petrol","Automatic","First",16.82,1998,189.08,4,35.67,7
"150",230,"Tata Indica V2 DLS BSII","Jaipur",2007,200000,"Diesel","Manual","Second",17.2,1396,53.5,5,0.85,17
"151",231,"Chevrolet Beat LT","Kochi",2016,60813,"Petrol","Manual","Second",18.6,1199,76.8,5,3.32,8
"152",232,"Volkswagen Polo Diesel Comfortline 1.2L","Mumbai",2012,45000,"Diesel","Manual","First",22.07,1199,73.9,5,3.6,12
"153",233,"Maruti Swift ZDi","Hyderabad",2016,64000,"Diesel","Manual","First",22.9,1248,74,5,6.8,8
"154",234,"Ford Figo Diesel EXI","Kolkata",2012,41284,"Diesel","Manual","First",20,1399,68.05,5,2.5,12
"155",237,"Honda City i-VTEC V","Kolkata",2011,32572,"Petrol","Manual","First",17.4,1497,117.3,5,3.87,13
"156",238,"Hyundai i20 1.2 Magna Executive","Kochi",2018,14960,"Petrol","Manual","First",18.6,1197,81.83,5,6.27,6
"157",239,"Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Kochi",2015,55980,"Diesel","Automatic","First",19.27,2143,167.62,5,18.12,9
"158",240,"Chevrolet Beat Diesel LT","Mumbai",2013,74000,"Diesel","Manual","First",25.44,936,57.6,5,2.65,11
"159",241,"Hyundai i20 Sportz 1.4 CRDi","Kochi",2015,56847,"Diesel","Manual","First",22.54,1396,88.73,5,7.2,9
"160",243,"Maruti Ertiga VDI","Chennai",2013,52000,"Diesel","Manual","First",20.77,1248,88.76,7,6.9,11
"161",246,"Honda City i VTEC V","Kochi",2016,33915,"Petrol","Manual","First",17.8,1497,117.3,5,8.09,8
"162",247,"BMW X1 sDrive20d","Ahmedabad",2014,82002,"Diesel","Automatic","First",17.05,1995,184,5,18.5,10
"163",248,"Hyundai Grand i10 CRDi Era","Mumbai",2017,33000,"Diesel","Manual","First",24,1120,70,5,4.75,7
"164",249,"Maruti Ciaz 1.3 Alpha","Chennai",2016,34000,"Diesel","Manual","First",28.09,1248,88.5,5,8.45,8
"165",250,"Skoda Rapid Leisure 1.6 TDI MT","Kolkata",2012,55000,"Diesel","Manual","First",20.5,1598,103.6,5,3.5,12
"166",252,"Volkswagen Polo GT 1.5 TDI","Jaipur",2014,60000,"Diesel","Manual","Second",19.91,1498,103.6,5,3.7,10
"167",253,"Honda Jazz 1.2 VX i VTEC","Coimbatore",2017,49575,"Petrol","Manual","First",18.7,1199,88.7,5,7.17,7
"168",254,"Hyundai i10 Era","Jaipur",2010,83000,"Petrol","Manual","First",19.81,1086,68.05,5,1.75,14
"169",255,"Hyundai Tucson 2.0 e-VGT 2WD AT GLS","Kochi",2018,51346,"Diesel","Automatic","First",16.38,1995,183,5,21.99,6
"170",257,"Maruti Omni MPI CARGO BSIII W/ IMMOBILISER","Jaipur",2011,35000,"Petrol","Manual","Third",19.7,796,35,5,1.85,13
"171",258,"Maruti Swift VXI BSIV","Coimbatore",2017,27872,"Petrol","Manual","Second",20.4,1197,81.8,5,5.95,7
"172",259,"Hyundai Grand i10 Magna","Mumbai",2014,16514,"Petrol","Manual","First",18.9,1197,82,5,3.75,10
"173",260,"Maruti Swift VDI","Pune",2012,120000,"Diesel","Manual","First",22.9,1248,74,5,3.75,12
"174",261,"Hyundai Verna CRDi 1.6 SX","Hyderabad",2008,143275,"Diesel","Manual","First",22,1582,126.2,5,2.6,16
"175",263,"Hyundai i20 1.2 Sportz","Mumbai",2010,52000,"Petrol","Manual","First",17,1197,80,5,2.8,14
"176",266,"Maruti Ritz ZDi","Hyderabad",2014,88500,"Diesel","Manual","First",23.2,1248,73.94,5,4.35,10
"177",267,"Hyundai Creta 1.6 CRDi SX","Bangalore",2016,28000,"Diesel","Manual","First",19.67,1582,126.2,5,13.75,8
"178",268,"Maruti A-Star Vxi","Pune",2010,67000,"Petrol","Manual","First",19,998,66.1,5,2,14
"179",269,"Renault Duster 110PS Diesel RXZ Option","Delhi",2016,26000,"Diesel","Manual","First",19.64,1461,108.45,5,10,8
"180",270,"Fiat Grande Punto 1.3 Emotion Pack (Diesel)","Delhi",2010,120000,"Diesel","Manual","First",17.8,1248,76,5,1.65,14
"181",271,"BMW X3 xDrive30d M Sport","Coimbatore",2017,51982,"Diesel","Automatic","First",16.55,2993,258,5,45.77,7
"182",272,"Hyundai i10 Sportz","Bangalore",2010,36000,"Petrol","Manual","Second",20.36,1197,78.9,5,3.25,14
"183",274,"Maruti Zen VXI BSII","Mumbai",2002,60000,"Petrol","Manual","Third",17.3,993,60,5,0.55,22
"184",275,"Maruti Swift VDI","Hyderabad",2018,31025,"Diesel","Manual","First",28.4,1248,74,5,7.15,6
"185",277,"Tata Zest Quadrajet 1.3 75PS XE","Pune",2017,121900,"Diesel","Manual","First",22.95,1248,74,5,3.75,7
"186",278,"Ford EcoSport 1.0 Ecoboost Titanium Plus","Mumbai",2017,22695,"Petrol","Manual","First",18.88,999,123.24,5,8.5,7
"187",279,"Maruti Swift Dzire ZDI","Jaipur",2012,73000,"Diesel","Manual","First",23.4,1248,74,5,4.35,12
"188",280,"Maruti Alto 800 LXI","Kochi",2016,32227,"Petrol","Manual","First",22.74,796,47.3,5,3.26,8
"189",281,"Honda City 1.5 S MT","Jaipur",2011,55000,"Petrol","Manual","First",17,1497,118,5,4.21,13
"190",283,"Skoda Laura 1.9 TDI AT Ambiente","Mumbai",2009,48000,"Diesel","Automatic","Second",17,1896,105,5,2.95,15
"191",284,"Hyundai Verna 1.6 SX VTVT (O)","Kochi",2012,54308,"Petrol","Manual","First",17.1,1591,121.3,5,4.28,12
"192",285,"Honda City 1.5 V AT","Jaipur",2009,78442,"Petrol","Automatic","First",16.8,1497,118,5,3.57,15
"193",286,"Hyundai i20 Magna Optional 1.4 CRDi","Kolkata",2013,46000,"Diesel","Manual","First",21.9,1396,88.8,5,3.11,11
"194",288,"Volkswagen Vento Diesel Highline","Hyderabad",2011,69000,"Diesel","Manual","First",20.54,1598,103.6,5,4.7,13
"195",289,"Honda City i VTEC VX","Ahmedabad",2014,49000,"Petrol","Manual","First",17.4,1497,117.3,5,6.9,10
"196",290,"Tata Zest Quadrajet 1.3 75PS XE","Pune",2018,45000,"Diesel","Manual","First",22.95,1248,74,5,5.25,6
"197",291,"BMW 5 Series 2003-2012 520d","Pune",2015,64000,"Diesel","Automatic","First",18.48,1995,177,5,28,9
"198",292,"Maruti Wagon R LXI Minor","Delhi",2009,60000,"Petrol","Manual","First",18.9,1061,67,5,1.35,15
"199",293,"Honda Jazz VX","Delhi",2015,62178,"Petrol","Manual","First",18.2,1199,88.7,5,4.85,9
"200",295,"Hyundai i10 Magna 1.2","Hyderabad",2010,74000,"Petrol","Manual","First",20.36,1197,78.9,5,3.1,14
"201",296,"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Kochi",2015,77771,"Diesel","Automatic","First",19.27,2143,170,5,18.64,9
"202",297,"Hyundai i10 Magna 1.2 iTech SE","Pune",2012,45275,"Petrol","Manual","First",20.36,1197,78.9,5,2.8,12
"203",299,"Audi A6 2011-2015 2.0 TDI Technology","Kochi",2015,31652,"Diesel","Automatic","First",17.68,1968,174.33,5,26.78,9
"204",301,"Volkswagen Polo Petrol Trendline 1.2L","Mumbai",2015,31978,"Petrol","Manual","First",16.47,1198,73.9,5,3.89,9
"205",302,"Maruti Alto K10 LXI","Hyderabad",2011,70000,"Petrol","Manual","First",20.92,998,67.1,5,2.1,13
"206",303,"Honda City i-VTEC CVT ZX","Mumbai",2017,15000,"Petrol","Automatic","First",18,1497,117.3,5,12.69,7
"207",304,"Tata Indigo LX","Coimbatore",2013,59138,"Diesel","Manual","First",17,1405,70,5,2.58,11
"208",305,"Audi A6 2011-2015 2.0 TDI Premium Plus","Kochi",2014,61726,"Diesel","Automatic","First",17.68,1968,174.33,5,20.77,10
"209",306,"Mercedes-Benz GLA Class 200 CDI SPORT","Delhi",2015,48000,"Diesel","Automatic","First",17.9,2143,136,5,20.26,9
"210",309,"Maruti Celerio VXI AT","Hyderabad",2014,77815,"Petrol","Automatic","First",23.1,998,67.04,5,4.25,10
"211",310,"Mercedes-Benz GLE 250d","Hyderabad",2017,29000,"Diesel","Automatic","First",17.9,2143,201.15,5,57,7
